Model,Noise,Accuracy
relu+LayerNorm,gaussian,45.84
relu+LayerNorm,shot_noise,50.44
relu+LayerNorm,blur,53.76
relu+LayerNorm,contrast,58.12
leakyrelu+LayerNorm,gaussian,47.28
leakyrelu+LayerNorm,shot_noise,49.48
leakyrelu+LayerNorm,blur,54.08
leakyrelu+LayerNorm,contrast,57.68
gelu+LayerNorm,gaussian,45.8
gelu+LayerNorm,shot_noise,49.6
gelu+LayerNorm,blur,53.24
gelu+LayerNorm,contrast,55.36
swish+LayerNorm,gaussian,47.48
swish+LayerNorm,shot_noise,49.36
swish+LayerNorm,blur,53.68
swish+LayerNorm,contrast,58.6
mish+LayerNorm,gaussian,47.32
mish+LayerNorm,shot_noise,48.72
mish+LayerNorm,blur,54.28
mish+LayerNorm,contrast,56.04
pasa+LayerNorm,gaussian,47.2
pasa+LayerNorm,shot_noise,49.52
pasa+LayerNorm,blur,55.24
pasa+LayerNorm,contrast,59.12
bayesian_pasa+LayerNorm,gaussian,46.92
bayesian_pasa+LayerNorm,shot_noise,49.44
bayesian_pasa+LayerNorm,blur,55.72
bayesian_pasa+LayerNorm,contrast,58.16
relu+B-RLN,gaussian,47.2
relu+B-RLN,shot_noise,50.52
relu+B-RLN,blur,55.52
relu+B-RLN,contrast,56.8
gelu+B-RLN,gaussian,48.28
gelu+B-RLN,shot_noise,49.88
gelu+B-RLN,blur,53.88
gelu+B-RLN,contrast,56.92
mish+B-RLN,gaussian,46.44
mish+B-RLN,shot_noise,47.88
mish+B-RLN,blur,54.84
mish+B-RLN,contrast,58.04
bayesian_pasa+B-RLN,gaussian,47.52
bayesian_pasa+B-RLN,shot_noise,52.28
bayesian_pasa+B-RLN,blur,56.6
bayesian_pasa+B-RLN,contrast,59.24
